ESACCI_VALUE,ESACCI_LABEL,CUSTOM_VALUE,CUSTOM_LABEL
0,No Data,0,NA
10,"Cropland, rainfed",1,"Cropland, Rainfed"
11,"Cropland, rainfed: Herbaceous cover",1,"Cropland, Rainfed"
12,"Cropland, rainfed: Tree or shrub cover",1,"Cropland, Rainfed"
20,"Cropland, irrigated or post?\flooding",2,"Cropland, Irrigated"
30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,"Cropland, Rainfed"
40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",3,Forest
50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",3,Forest
60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",3,Forest
61,"Tree cover, broadleaved, deciduous, closed (>40%)",3,Forest
62,"Tree cover, broadleaved, deciduous, open (15?\40%)",3,Forest
70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",3,Forest
71,"Tree cover, needleleaved, evergreen, closed (>40%)",3,Forest
72,"Tree cover, needleleaved, evergreen, open (15?\40%)",3,Forest
80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",3,Forest
81,"Tree cover, needleleaved, deciduous, closed (>40%)",3,Forest
82,"Tree cover, needleleaved, deciduous, open (15?\40%)",3,Forest
90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",3,Forest
100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),3,Forest
110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),4,Shrub + Grass
120,Shrubland,4,Shrub + Grass
121,Evergreen shrubland,4,Shrub + Grass
122,Deciduous shrubland,4,Shrub + Grass
130,Grassland,4,Shrub + Grass
140,Lichens and mosses,0,Unproductive
150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",0,Unproductive
152,Sparse shrub (<15%),0,Unproductive
153,Sparse herbaceous cover (<15%),0,Unproductive
160,"Tree cover, flooded, fresh or brakish water",0,Forest
170,"Tree cover, flooded, saline water",0,Forest
180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",0,Shrubland
190,Urban areas,5,Urban
200,Bare areas,0,Bare
201,Consolidated bare areas,0,Bare
202,Unconsolidated bare areas,0,Bare
210,Water bodies,0,Water
220,Permanent snow and ice,0,Bare
