Site_id,Channa_micropeltes,Yasuhikotakia_modesta,Mystus_singaringan,Cirrhinus_molitorella
1,469.662,6596.444,1597.444,0
2,0,11409.305,2622.305,0
3,0,2117.188,0,0
4,0,2425.845,333.838,0
5,659.064,1191.702,249.314,189.565
6,6795.663,3308.919,880.663,0
7,3328.784,5178.006,115.58,0
8,2227.201,5495.557,123.977,0
9,0,0,0,0
10,0,0,0,0
11,4141.379,0,239.244,0
12,7040.801,0,1048.974,0
13,7873.788,13647.278,0,0
14,8474.315,0,5408.642,0
15,10044.092,0,0,0
16,1711.706,0,5.694,0
17,1064.142,0,0,2343.972
18,0,0,0,7338.54
19,0,0,0,342.583
20,0,0,0,897.479
21,0,0,0,110.164
22,0,17263.746,4699.746,363.088
23,0,338.393,3.873,0
24,0,772.086,1314.576,0
25,0,3436.933,0,239.862
26,0,2605.616,314.015,297.973
27,0,0,0,271.817
28,0,2767.892,0,0
29,0,0,0,0
30,343.909,1392.301,0,0
31,2204.512,3422.795,706.512,0
32,123.64,3292.708,130.708,0
33,1576.534,4896.988,606.988,0
34,1799.094,4965.814,768.417,0
35,0,749.322,0,0
36,1242.192,40968.603,3391.785,0
37,362.508,1513.702,110.194,0
38,9763.695,1502.573,0,0
39,0,0,0,0
