SiteID,lon_original,lat_original,lon_HydroSHEDS,lat_HydroSHEDS,biodiv,elev,discharge
0,98.698165,18.423255,98.698165,18.423255,41,284,25.07600021
1,98.593871,18.092984,98.593871,18.092984,42,249,31.22500038
2,99.02395,17.23891,99.02437422,17.23962792,30,142,72.26599884
3,99.183955,16.786593,99.18349814,16.78607088,35,102,96.75800323
4,99.52094,16.45345,99.52236768,16.45340921,45,72,122.2750015
5,99.721829,16.217245,99.72362379,16.21729939,43,55,135.1190033
6,99.975888,15.93547,99.97643188,15.93476296,41,38,130.5469971
7,100.05231,15.85066,100.0534317,15.85066,49,33,128.2380066
8,99.61708,19.33834,99.61708,19.33834,21,509,4.340000153
9,99.62187,19.14447,99.62258384,19.14501388,28,415,4.340000153
10,99.63039,18.78524,99.63039,18.78524,19,310,5.558000088
11,99.55335,18.669677,99.56273187,18.669677,26,289,7.138999939
12,99.6327,18.518573,99.63251644,18.51834865,19,265,7.400000095
13,99.384094,18.159218,99.38732327,18.15915002,28,218,11.13899994
14,99.23207,17.641443,99.23207,17.641443,16,166,14.38599968
15,99.07803,17.26054,99.09539055,17.26057263,27,145,17.88699913
16,100.27401,19.11994,100.2750638,19.11983802,34,289,15.81799984
17,100.26268,18.88614,100.2638221,18.88597684,30,253,22.25699997
18,100.16155,18.50852,100.1599592,18.51035558,20,183,26.67200089
19,100.124667,18.13392,100.1254502,18.13385473,41,159,29.60499954
20,99.758724,17.517281,99.758724,17.517281,31,74,33.45299912
21,99.819753,17.021528,99.82046004,17.021528,39,53,44.4659996
22,100.190939,16.655739,100.1894263,16.65463425,29,46,66.26699829
23,100.271754,16.310723,100.269535,16.30993982,35,37,76.75700378
24,100.812702,19.165129,100.8131099,19.16444915,42,224,35.04499817
25,100.75716,18.57083,100.7665623,18.57503145,45,186,80.28199768
26,100.89173,18.33093,100.89173,18.33093,21,168,127.1800003
27,100.55593,17.73965,100.5570721,17.73907893,13,93,29.36499977
28,100.09945,17.610415,100.09945,17.610415,33,63,189.0930023
29,100.260212,16.823194,100.260212,16.823194,40,40,261.2219849
30,100.396159,16.349888,100.3926999,16.34757108,37,38,280.7120056
31,100.264757,15.869217,100.2645361,15.86845217,38,28,383.9909973
32,100.142815,15.702514,100.1445486,15.70414563,49,23,546.8920288
33,100.114645,15.550113,100.115004,15.55008037,48,21,538.8569946
34,100.083389,15.250957,100.083389,15.250957,33,15,530.9379883
35,100.401873,14.898705,100.4005133,14.89863702,46,10,493.5690002
36,100.448618,14.576398,100.4511334,14.57653397,52,7,509.6199951
37,100.535143,14.11851,100.5359588,14.11932582,52,2,793.2379761
38,100.497611,13.73931,100.4977334,13.7406153,26,6,829
